"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 11 14:41:10 CST 2024","Thu Jan 11 14:41:26 CST 2024","16033","tests","test_DG_Regression","","","","test_user_cant_navigate_past_reference_on_next_button",""
"passed","Thu Jan 11 14:43:46 CST 2024","Thu Jan 11 14:44:01 CST 2024","15069","tests","test_DG_Regression","","","","test_value_search_default_search",""
"passed","Thu Jan 11 14:43:18 CST 2024","Thu Jan 11 14:43:37 CST 2024","18471","tests","test_DG_Regression","","","","test_user_can_navigate_pending_matter_and_save",""
"passed","Thu Jan 11 14:42:24 CST 2024","Thu Jan 11 14:42:42 CST 2024","18444","tests","test_DG_Regression","","","","test_advanced_search_matter",""
"passed","Thu Jan 11 14:42:51 CST 2024","Thu Jan 11 14:43:10 CST 2024","18562","tests","test_DG_Regression","","","","test_user_can_navigate_open_matter_and_save",""
"passed","Thu Jan 11 14:41:59 CST 2024","Thu Jan 11 14:42:15 CST 2024","15753","tests","test_DG_Regression","","","","test_search_pending_matter",""
"passed","Thu Jan 11 14:40:22 CST 2024","Thu Jan 11 14:40:37 CST 2024","15329","tests","test_DG_Regression","","","","test_search_open_matter",""
"passed","Thu Jan 11 14:44:09 CST 2024","Thu Jan 11 14:44:23 CST 2024","13660","tests","test_DG_Regression","","","","test_value_search_option_search",""
"passed","Thu Jan 11 14:40:46 CST 2024","Thu Jan 11 14:41:01 CST 2024","15047","tests","test_DG_Regression","","","","test_user_cant_navigate_past_reference_on_page_titles",""
"passed","Thu Jan 11 14:39:55 CST 2024","Thu Jan 11 14:40:00 CST 2024","4815","tests","test_DG_Regression","","","","test_wrong_password",""
"passed","Thu Jan 11 14:41:36 CST 2024","Thu Jan 11 14:41:51 CST 2024","14694","tests","test_DG_Regression","","","","test_create_new_matter",""
"passed","Thu Jan 11 14:40:08 CST 2024","Thu Jan 11 14:40:13 CST 2024","4746","tests","test_DG_Regression","","","","test_wrong_password_empty",""
